Year,QuarterDate,Quarter,City,State,MeanDwellingPrice($000),HPGrowth_pct(%),InterestRate(%),Inflation(%),NetOverseasMigration,HouseholdIncome_per_capita,Covid19,Election_dummy,Quarter2,Quarter3,Quarter4,Time Trend
2014,46187,Q2,Sydney,NSW,649.9,2.96,2.5,0.5,11375,45068,0,0,1,0,0,1
2014,46279,Q3,Sydney,NSW,666.5,2.55,2.5,0.4,19303,45068,0,0,0,1,0,2
2014,46370,Q4,Sydney,NSW,693.5,4.05,2.5,0.2,15869,45068,0,0,0,0,1,3
2015,46096,Q1,Sydney,NSW,718.2,3.56,2.25,0.2,22897,46965,0,0,0,0,0,4
2015,46188,Q2,Sydney,NSW,760.9,5.95,2,0.7,12240,46965,0,0,1,0,0,5
2015,46280,Q3,Sydney,NSW,788.1,3.57,2,0.4,20471,46965,0,0,0,1,0,6
2015,46371,Q4,Sydney,NSW,781.8,-0.8,2,0.4,17230,46965,0,0,0,0,1,7
2016,46097,Q1,Sydney,NSW,779.3,-0.32,2,-0.2,26055,48068,0,1,0,0,0,8
2016,46189,Q2,Sydney,NSW,802,2.91,1.75,0.4,16251,48068,0,1,1,0,0,9
2016,46281,Q3,Sydney,NSW,823.7,2.71,1.5,0.7,30126,48068,0,1,0,1,0,10
2016,46372,Q4,Sydney,NSW,858.7,4.25,1.5,0.5,23770,48068,0,1,0,0,1,11
2017,46098,Q1,Sydney,NSW,885.8,3.16,1.5,0.5,33051,49216,0,0,0,0,0,12
2017,46190,Q2,Sydney,NSW,906.9,2.38,1.5,0.2,18555,49216,0,0,1,0,0,13
2017,46282,Q3,Sydney,NSW,897.9,-0.99,1.5,0.6,28130,49216,0,0,0,1,0,14
2017,46373,Q4,Sydney,NSW,906.7,0.98,1.5,0.7,15192,49216,0,0,0,0,1,15
2018,46099,Q1,Sydney,NSW,895.4,-1.25,1.5,0.4,30281,50345,0,0,0,0,0,16
2018,46191,Q2,Sydney,NSW,889.2,-0.69,1.5,0.4,17047,50345,0,0,1,0,0,17
2018,46283,Q3,Sydney,NSW,868.5,-2.33,1.5,0.4,27542,50345,0,0,0,1,0,18
2018,46374,Q4,Sydney,NSW,831.8,-4.23,1.5,0.5,18016,50345,0,0,0,0,1,19
2019,46100,Q1,Sydney,NSW,806.8,-3.01,1.5,0,26960,52135,0,1,0,0,0,20
2019,46192,Q2,Sydney,NSW,819.8,1.61,1.25,0.6,12025,52135,0,1,1,0,0,21
2019,46284,Q3,Sydney,NSW,851,3.81,1,0.6,23289,52135,0,1,0,1,0,22
2019,46375,Q4,Sydney,NSW,899.3,5.68,0.75,0.7,17010,52135,0,1,0,0,1,23
2020,46101,Q1,Sydney,NSW,890.4,-0.99,0.25,0.4,21509,54049,1,0,0,0,0,24
2020,46193,Q2,Sydney,NSW,871.8,-2.09,0.25,-1.9,-3945,54049,1,0,1,0,0,25
2020,46285,Q3,Sydney,NSW,888.9,1.96,0.25,1.5,-10075,54049,1,0,0,1,0,26
2020,46376,Q4,Sydney,NSW,939.7,5.71,0.1,0.9,-487,54049,1,0,0,0,1,27
2021,46102,Q1,Sydney,NSW,1011.1,7.6,0.1,0.6,-806,56659,1,0,0,0,0,28
2021,46194,Q2,Sydney,NSW,1093.1,8.11,0.1,0.7,4132,56659,1,0,1,0,0,29
2021,46286,Q3,Sydney,NSW,1118.2,2.3,0.1,0.8,-5899,56659,1,0,0,1,0,30
2021,46377,Q4,Sydney,NSW,1207.2,7.96,0.1,1.3,15303,56659,1,0,0,0,1,31
2022,46103,Q1,Sydney,NSW,1227.2,1.66,0.1,2.2,36167,59405,0,1,0,0,0,32
2022,46195,Q2,Sydney,NSW,1270.4,3.52,0.85,1.8,25149,59405,0,1,1,0,0,33
2022,46287,Q3,Sydney,NSW,1176.3,-7.41,2.35,1.8,43456,59405,0,1,0,1,0,34
2022,46378,Q4,Sydney,NSW,1130.5,-3.89,3.1,1.8,42545,59405,0,1,0,0,1,35
2023,46104,Q1,Sydney,NSW,1150.4,1.76,3.6,1.4,52442,60689,0,0,0,0,0,36
2023,46196,Q2,Sydney,NSW,1178.7,2.46,4.1,0.9,39592,60689,0,0,1,0,0,37
2023,46288,Q3,Sydney,NSW,1174.4,-0.36,4.1,1.2,48630,60689,0,0,0,1,0,38
2023,46379,Q4,Sydney,NSW,1184.5,0.86,4.35,0.6,31492,60689,0,0,0,0,1,39
2024,46105,Q1,Sydney,NSW,1212,2.32,4.35,0.9,38262,62715,0,0,0,0,0,40
2024,46197,Q2,Sydney,NSW,1235.6,1.95,4.35,1,14731,62715,0,0,1,0,0,41
2024,46289,Q3,Sydney,NSW,1225.3,-0.83,4.35,0.2,26279,62715,0,0,0,1,0,42
2024,46380,Q4,Sydney,NSW,1214.1,-0.91,4.35,0.2,18467,62715,0,0,0,0,1,43
